Date,Discharge_m3s
10/9/2017,84.86
10/10/2017,84.86
10/11/2017,84.86
10/12/2017,84.86
10/13/2017,84.86
10/14/2017,84.86
10/15/2017,84.86
10/16/2017,84.86
10/17/2017,84.86
10/18/2017,84.86
10/19/2017,84.86
10/20/2017,84.86
10/21/2017,84.86
10/22/2017,84.86
10/23/2017,84.86
10/24/2017,84.86
10/25/2017,84.86
10/26/2017,84.86
10/27/2017,84.86
10/28/2017,84.86
10/29/2017,84.86
10/30/2017,84.86
10/31/2017,84.86
11/1/2017,49.275
11/2/2017,49.275
11/3/2017,49.275
11/4/2017,49.275
11/5/2017,49.275
11/6/2017,49.275
11/7/2017,49.275
11/8/2017,49.275
11/9/2017,49.275
11/10/2017,49.275
11/11/2017,49.275
11/12/2017,49.275
11/13/2017,49.275
11/14/2017,49.275
11/15/2017,49.275
11/16/2017,49.275
11/17/2017,49.275
11/18/2017,49.275
11/19/2017,49.275
11/20/2017,49.275
11/21/2017,49.275
11/22/2017,49.275
11/23/2017,49.275
11/24/2017,49.275
11/25/2017,49.275
11/26/2017,49.275
11/27/2017,49.275
11/28/2017,49.275
11/29/2017,49.275
11/30/2017,49.275
12/1/2017,33.2
12/2/2017,33.2
12/3/2017,33.2
12/4/2017,33.2
12/5/2017,33.2
12/6/2017,33.2
12/7/2017,33.2
12/8/2017,33.2
12/9/2017,33.2
12/10/2017,33.2
12/11/2017,33.2
12/12/2017,33.2
12/13/2017,33.2
12/14/2017,33.2
12/15/2017,33.2
12/16/2017,33.2
12/17/2017,33.2
12/18/2017,33.2
12/19/2017,33.2
12/20/2017,33.2
12/21/2017,33.2
12/22/2017,33.2
12/23/2017,33.2
12/24/2017,33.2
12/25/2017,33.2
12/26/2017,33.2
12/27/2017,33.2
12/28/2017,33.2
12/29/2017,33.2
12/30/2017,33.2
12/31/2017,33.2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,99.84
,99.84
,99.84
