Branch,Segment_Index,Distance_km,Area_km2,Runoff_C,Is_Polder_Zone,Q_lat_base_m3_s,NH4_conc_base_mg_L,NO3_conc_base_mg_L,PO4_conc_base_mg_L,TOC_conc_base_mg_L,DIC_conc_base_mg_L,SPM_conc_base_mg_L
Hau_Main,18,37,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,19,38,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,19,39,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,20,40,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,20,41,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,21,42,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,21,43,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,22,44,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Hau_Main,22,45,2.0,0.503,True,0.00201,4.42,5.45,0.99,28.0,15.95,95.5
Vam_Nao,0,0,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,0,1,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,1,2,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,1,3,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,2,4,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,2,5,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,3,6,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Vam_Nao,3,7,2.0,0.418,True,0.00167,2.9,5.95,0.85,21.75,15.1,82.5
Tien_Lower,0,0,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
