# ============================================================================
# C-GEM Seasonal Calibration Targets: Mekong Delta
# ============================================================================
# 4-STAGE CALIBRATION TARGETS from March 2025 Field Campaign
#
# Format: Branch, Variable, Location_km, Time_Day, Value, Weight
#
# IMPORTANT: Time_Day is days AFTER WARMUP (post-warmup simulation day)
#   - Time_Day = 15 means compare at day 15 of the "real" simulation
#   - This is independent of warmup period setting in case_config.txt
#   - March 2025 data corresponds to dry season (~Day 15 after warmup)
#
# Weight guidelines:
#   3.0 = High priority (mouth/key locations)
#   2.0 = Medium priority
#   1.0 = Low priority (fill-in points)
# ============================================================================

Branch,Variable,Location_km,Time_Day,Value,Weight
Co_Chien,NO3,55.9,15.0,11.4,2.0
Co_Chien,NO3,81.8,15.0,7.9,2.0

# MY THO
My_Tho,NO3,5.6,15.0,35.7,2.0
My_Tho,NO3,28.0,15.0,27.1,1.5
My_Tho,NO3,51.1,15.0,11.4,2.0
My_Tho,NO3,55.0,15.0,11.4,2.0

# --- NH4 (µmol/L) ---
# Generally low: 0.7-5.0

# HAU RIVER
Hau_River,NH4,0.2,15.0,0.7,1.5
Hau_River,NH4,41.7,15.0,1.4,1.5
Hau_River,NH4,83.9,15.0,4.3,2.0
Hau_River,NH4,87.0,15.0,5.0,2.0

# HAM LUONG
Ham_Luong,NH4,48.9,15.0,5.0,2.0
Ham_Luong,NH4,58.0,15.0,1.4,1.5

# --- TOC (µmol/L) ---
# Ocean: 107-192, Upstream: 120-170

# HAU RIVER
Hau_River,TOC,0.2,15.0,107.5,2.0
Hau_River,TOC,21.1,15.0,148.3,1.5
Hau_River,TOC,57.8,15.0,136.7,1.5
Hau_River,TOC,88.0,15.0,121.7,2.0

# HAM LUONG
Ham_Luong,TOC,0.0,15.0,155.0,2.0
Ham_Luong,TOC,31.4,15.0,210.8,1.5
Ham_Luong,TOC,58.0,15.0,190.8,1.5
Ham_Luong,TOC,59.0,15.0,169.2,2.0

# CO CHIEN
Co_Chien,TOC,7.4,15.0,140.0,2.0
Co_Chien,TOC,29.2,15.0,146.7,1.5
Co_Chien,TOC,55.9,15.0,145.0,1.5
Co_Chien,TOC,81.8,15.0,134.2,2.0

# MY THO
My_Tho,TOC,0.9,15.0,191.7,2.0
My_Tho,TOC,28.0,15.0,216.7,1.5
My_Tho,TOC,51.1,15.0,185.8,1.5
My_Tho,TOC,55.0,15.0,154.2,2.0

# =============================================================================
# STAGE 4: GREENHOUSE GASES (pCO2, pH, CH4, N2O) - Day 15 post-warmup
# =============================================================================

# --- pCO2 (µatm) ---
# Ocean: 470-590, Upstream: 3800-4700

# HAU RIVER
Hau_River,PCO2,0.2,15.0,488.0,2.5
Hau_River,PCO2,14.8,15.0,682.0,2.0
Hau_River,PCO2,28.8,15.0,948.0,2.0
Hau_River,PCO2,41.7,15.0,2052.0,2.0
Hau_River,PCO2,57.8,15.0,3232.0,2.0
Hau_River,PCO2,83.9,15.0,4007.0,2.5
Hau_River,PCO2,87.0,15.0,4559.0,2.0

# HAM LUONG
Ham_Luong,PCO2,0.0,15.0,521.0,2.5
Ham_Luong,PCO2,23.9,15.0,1183.0,2.0
Ham_Luong,PCO2,39.4,15.0,2494.0,2.0
Ham_Luong,PCO2,54.4,15.0,2551.0,2.0
Ham_Luong,PCO2,59.0,15.0,4464.0,2.5

# CO CHIEN
Co_Chien,PCO2,0.0,15.0,510.0,2.5
Co_Chien,PCO2,18.8,15.0,832.0,2.0
Co_Chien,PCO2,38.7,15.0,1823.0,2.0
Co_Chien,PCO2,55.9,15.0,3864.0,2.0
Co_Chien,PCO2,81.8,15.0,4429.0,2.5

# MY THO
My_Tho,PCO2,0.9,15.0,586.0,2.5
My_Tho,PCO2,14.9,15.0,704.0,2.0
My_Tho,PCO2,35.8,15.0,1803.0,2.0
My_Tho,PCO2,51.1,15.0,3319.0,2.0
My_Tho,PCO2,55.0,15.0,3779.0,2.5

# --- pH ---
# Ocean: 8.0-8.2, Upstream: 7.3-7.5

# HAU RIVER
Hau_River,PH,0.2,15.0,8.16,2.5
Hau_River,PH,21.1,15.0,7.97,2.0
Hau_River,PH,41.7,15.0,7.65,2.0
Hau_River,PH,57.8,15.0,7.50,2.0
Hau_River,PH,86.0,15.0,7.43,2.5

# HAM LUONG
Ham_Luong,PH,0.0,15.0,8.12,2.5
Ham_Luong,PH,31.4,15.0,7.67,2.0
Ham_Luong,PH,54.4,15.0,7.53,2.0
Ham_Luong,PH,59.0,15.0,7.34,2.5

# CO CHIEN
Co_Chien,PH,0.0,15.0,8.12,2.5
Co_Chien,PH,29.2,15.0,7.74,2.0
Co_Chien,PH,55.9,15.0,7.43,2.0
Co_Chien,PH,81.8,15.0,7.44,2.5

# MY THO
My_Tho,PH,0.9,15.0,8.05,2.5
My_Tho,PH,28.0,15.0,7.82,2.0
My_Tho,PH,51.1,15.0,7.56,2.0
My_Tho,PH,55.0,15.0,7.60,2.5

# --- CH4 (nmol/L) ---
# Ocean: 38-48, Upstream: 65-243 (high due to rice paddies)

# HAU RIVER
Hau_River,CH4,10.4,15.0,68.3,2.0
Hau_River,CH4,41.7,15.0,120.8,2.0
Hau_River,CH4,83.9,15.0,150.0,2.5
Hau_River,CH4,87.0,15.0,174.2,2.0

# HAM LUONG
Ham_Luong,CH4,0.0,15.0,39.2,2.0
Ham_Luong,CH4,39.4,15.0,124.2,2.0
Ham_Luong,CH4,58.0,15.0,107.5,2.5
Ham_Luong,CH4,59.0,15.0,143.3,2.0

# CO CHIEN
Co_Chien,CH4,7.4,15.0,42.5,2.0
Co_Chien,CH4,38.7,15.0,71.7,2.0
Co_Chien,CH4,55.9,15.0,82.5,2.0
Co_Chien,CH4,71.0,15.0,243.3,2.5

# MY THO
My_Tho,CH4,0.9,15.0,48.3,2.0
My_Tho,CH4,35.8,15.0,75.0,2.0
My_Tho,CH4,51.1,15.0,54.2,2.0
My_Tho,CH4,55.0,15.0,65.8,2.5

# --- N2O (nmol/L) ---
# Ocean: 6-8, Upstream: 15-52

# HAU RIVER
Hau_River,N2O,0.2,15.0,8.2,2.0
Hau_River,N2O,41.7,15.0,16.1,2.0
Hau_River,N2O,57.8,15.0,26.8,2.0
Hau_River,N2O,83.9,15.0,52.5,2.5
Hau_River,N2O,87.0,15.0,41.4,2.0

# HAM LUONG
Ham_Luong,N2O,0.0,15.0,7.1,2.0
Ham_Luong,N2O,39.4,15.0,20.0,2.0
Ham_Luong,N2O,58.0,15.0,26.8,2.5
