Name,Branch,Segment_Index,Distance_km,Population,Treatment,Q_m3_s,NH4_mg_L,NO3_mg_L,PO4_mg_L,TOC_mg_L,DIC_mg_L,SPM_mg_L,CH4_umol_L,N2O_umol_L
Can_Tho,Hau_River,42,84.0,1500000,primary,2.6042,50.0,1.0,7.2,140.0,20.0,125.0,2.8125,0.108
My_Tho,My_Tho,22,44.0,500000,none,0.8681,45.0,1.0,8.0,200.0,20.0,250.0,3.125,0.1136
Ben_Tre,Ham_Luong,19,39.0,200000,none,0.3472,40.0,1.0,8.0,200.0,20.0,250.0,3.125,0.1136
Vinh_Long,Co_Chien,24,48.0,150000,none,0.2604,45.0,1.0,8.0,200.0,20.0,250.0,3.125,0.1136
