time_s,Q_m3s
0.0,3248.0905413709643
3600.0,3228.369421934667
7200.0,3344.150541484125
10800.0,3464.9503742033257
14400.0,3315.5263949008367
18000.0,3331.4018173147115
21600.0,3519.624573845195
25200.0,3432.209030194119
28800.0,3291.954420461515
32400.0,3367.485264996731
36000.0,3234.804021011231
39600.0,3196.5219372302104
43200.0,3223.6313035631365
46800.0,2977.663159096181
50400.0,2958.917529481584
54000.0,3035.1711489975305
57600.0,2968.785479757751
61200.0,3074.5469128321056
64800.0,2957.557872972193
68400.0,2916.783351644079
72000.0,3196.4451571539585
75600.0,3066.3379655506237
79200.0,3126.711451324521
82800.0,3023.9611048177126
86400.0,3147.7829815870446
90000.0,3252.2425925464677
93600.0,3166.7862190807073
97200.0,3350.525795377212
100800.0,3278.451480371273
104400.0,3325.239298534168
108000.0,3299.393802524034
111600.0,3541.004006967327
115200.0,3337.2585791047973
118800.0,3208.0514061503854
122400.0,3360.985103899415
126000.0,3122.7367396438945
129600.0,3220.095632694655
133200.0,2972.936475151273
136800.0,2995.7233968358823
140400.0,3105.1365552390716
144000.0,3129.302445591323
147600.0,3061.151203168731
151200.0,3029.494956750611
154800.0,3017.983883643808
158400.0,2925.6845629807103
162000.0,3020.2430548600187
165600.0,3076.926949979536
169200.0,3258.804655595795
172800.0,3233.0322630643577
176400.0,3070.0115550136147
180000.0,3311.9358658362003
183600.0,3274.9076623901346
187200.0,3270.8110726813215
190800.0,3416.1525096049954
194400.0,3463.972866930342
198000.0,3448.316749327621
201600.0,3254.5558268740265
205200.0,3282.4487889709053
208800.0,3312.6423347108143
212400.0,3336.3216717497535
216000.0,3154.043083261993
219600.0,3141.0399704834376
223200.0,3016.4889458821626
226800.0,2976.1284778498666
230400.0,3136.1043688518107
234000.0,3169.406803138716
237600.0,3033.4748122970364
241200.0,3137.1817778313552
244800.0,3094.6926867828274
248400.0,3027.163075337485
252000.0,3153.8704363726397
255600.0,3304.375610252852
259200.0,3196.9602920969455
262800.0,3393.9848623295547
266400.0,3022.59487946973
270000.0,3395.2537317978654
273600.0,3347.7008641180328
277200.0,3324.8726755073412
280800.0,3369.6706654002946
284400.0,3154.920601763921
288000.0,3316.976997364928
291600.0,3349.0505739114683
295200.0,3425.8529754215197
298800.0,3191.4121412693007
302400.0,3122.774933457957
306000.0,3111.432526773037
309600.0,3206.082370247762
313200.0,3117.696887895237
316800.0,3013.157745799512
320400.0,3092.7323699594594
324000.0,3049.2345999429003
327600.0,3134.3424838406922
331200.0,2997.3318583472037
334800.0,3056.9015568849777
338400.0,3083.6841101942573
342000.0,3020.2871976337597
345600.0,3229.5484787140517
349200.0,3267.930924649735
352800.0,3281.6421772599024
356400.0,3290.962753223199
360000.0,3197.9148401928865
363600.0,3313.3659067511335
367200.0,3326.6089972287173
370800.0,3274.946489901643
374400.0,3323.5637477025825
