# Branch_ID, Name, NodeUp, NodeDown, Length_m, Width_Up_m, Width_Down_m, Depth_m, Chezy, Group
1, TanChau_Main, 1, 2, 85000, 1500, 2000, 13, 55, 1
# First bifurcation: Mekong splits into Hau + Tien
2, Hau_River, 2, 3, 120000, 1200, 1800, 12, 50, 1
3, Tien_River, 2, 4, 95000, 1500, 2200, 13, 52, 1
4, Ham_Luong, 4, 5, 58000, 800, 1400, 10, 48, 2
5, Co_Chien, 4, 6, 62000, 850, 1500, 11, 50, 2
6, My_Tho, 4, 7, 45000, 700, 1200, 9, 48, 2
