Branch,Segment_Index,Distance_km
Hau_River,6,12
Hau_River,6,13
Hau_River,7,14
Hau_River,7,15
Hau_River,8,16
Hau_River,8,17
Hau_River,9,18
Hau_River,9,19
Hau_River,10,20
Hau_River,10,21
Hau_River,11,22
Hau_River,11,23
Hau_River,12,24
Hau_River,25,51
Hau_River,26,52
Hau_River,26,53
Hau_River,27,54
Hau_River,27,55
Hau_River,28,56
Hau_River,28,57
Hau_River,29,58
Hau_River,29,59
Hau_River,30,60
Hau_River,30,61
Hau_River,31,62
Hau_River,31,63
Hau_River,32,64
Hau_River,32,65
Hau_River,33,66
Hau_River,33,67
Hau_River,34,68
Hau_River,34,69
Hau_River,35,70
Hau_River,35,71
Hau_River,36,72
Hau_River,36,73
Hau_River,37,74
Hau_River,37,75
Hau_River,38,76
Hau_River,38,77
Hau_River,39,78
Hau_River,39,79
Hau_River,40,80
Hau_River,40,81
Hau_River,41,82
Hau_River,41,83
Hau_River,42,84
Hau_River,42,85
Hau_River,43,86
Hau_River,43,87
Hau_River,44,88
Hau_River,44,89
Hau_River,45,90
